conversation_id,turn_no,speaker,utterance
1,1,User,"Hi, I just bought this car. Need insurance. [Vehicle Description: ]"
1,2,Agent (Credibility),
1,3,User (Request additional info),"Congrats — can you share the car’s make, model, variant, manufacture year, registration number (or chassis/engine no.), registration date and city of registration? Also confirm if you want comprehensive cover, your preferred deductible (you mentioned low — e.g., ₹1,000–₹5,000) and whether you have any no-claim bonus; do you prefer quotes via WhatsApp or email?"
1,4,Agent (Personal),"Congrats on the new car — happy to help get it insured. A few quick details and preferences from you and I’ll prepare personalised quotes (I can send them via WhatsApp or email):

What I need
- Car make, model & variant (e.g., Maruti Swift VXi)
- Manufacture year
- Registration number (or chassis/engine number)
- Registration date and city of registration
- Is the car registered in your name? (Yes/No)

Cover & preferences
- Do you want comprehensive cover (recommended) or third‑party only?
- Preferred deductible/excess — you mentioned “low” (e.g., ₹1,000–₹5,000). Which exact amount would you like?
- Do you have any No Claim Bonus (NCB)? If yes, what % and do you have the previous policy document?

Add‑ons (pick any you want included)
- Zero depreciation (engineered for new/expensive parts)
- Roadside assistance / breakdown support
- Consumables cover (oil, nuts/bolts after claim)
- Tire protection
- Engine protection / hydrostatic lock
- Return to invoice

Other useful info
- Will the car be used personally or for commercial/ride‑sharing?
- Any anti‑theft device fitted?
- Preferred contact to receive quotes: WhatsApp number or email?

About the insurer I’ll quote from
I can provide quotes from Digit Insurance — they do fully online policies, paperless issuance, smartphone-based claim inspections, and useful add‑ons like tire protection, consumables cover and roadside support.

Next step
Share the details above and your preferred contact method. I’ll prepare 2–3 tailored options (different IDVs/deductibles/add‑ons) and send them over so you can pick and buy online right away."
1,5,User (Express Concern),"I'm worried a low deductible will push my premium up too much — roughly how much extra would I pay for a ₹2,000 deductible versus ₹5,000?"
1,6,Agent (Logical),
1,7,User (Negotiate price),"If a ₹2,000 deductible raises my annual premium by about ₹2,000–₹4,000, can you negotiate a discount (aim for ~₹1,000–₹1,500 off) or include one add‑on (zero‑dep or roadside) so my cost stays close to the ₹5,000 option? Send the quotes via WhatsApp."
1,8,Agent (Emotional),
1,9,User (Express Concern),"I'm concerned the ₹2,000 deductible will push my premium too high — please try to negotiate a ~₹1,000–₹1,500 discount or include zero‑dep/roadside so the total stays close to the ₹5,000 option; send the quotes to my WhatsApp."
1,10,Agent (Personal),
